counter,phone_counter,userID,isLock,timestamp
55603,243,peppapig,0,1570097294
55606,244,peppapig,1,1570097513
55607,245,peppapig,0,1570098884
55608,246,peppapig,1,1570099092
55609,247,peppapig,0,1570099303
55610,248,peppapig,1,1570099576
55611,249,peppapig,0,1570099590
55612,250,peppapig,1,1570099596
55613,251,peppapig,0,1570099599
55614,252,peppapig,1,1570099614
55615,253,peppapig,0,1570099626
55616,254,peppapig,1,1570100278
55617,255,peppapig,0,1570100396
55618,256,peppapig,1,1570100419
55619,257,peppapig,0,1570100611
55620,258,peppapig,1,1570100620
55621,259,peppapig,0,1570100630
55622,260,peppapig,1,1570100651
55623,261,peppapig,0,1570100727
55624,262,peppapig,1,1570100773
55625,263,peppapig,0,1570100776
55626,264,peppapig,1,1570100799
55627,265,peppapig,0,1570100861
55628,266,peppapig,1,1570100916
55629,267,peppapig,0,1570100971
55666,268,peppapig,1,1570101124
55667,269,peppapig,0,1570101129
55668,270,peppapig,1,1570101148
55669,271,peppapig,1,1570101196
55670,272,peppapig,0,1570101750
55671,273,peppapig,1,1570101759
55672,274,peppapig,0,1570101791
55673,275,peppapig,1,1570101841
55674,276,peppapig,0,1570102487
55675,277,peppapig,1,1570102493
55676,278,peppapig,1,1570102636
55677,279,peppapig,1,1570102839
55678,280,peppapig,0,1570103141
55679,281,peppapig,1,1570103153
55680,282,peppapig,1,1570103653
55681,283,peppapig,1,1570103724
55682,284,peppapig,1,1570104043
55683,285,peppapig,0,1570104093
55684,286,peppapig,1,1570104108
55685,287,peppapig,0,1570104196
55686,288,peppapig,1,1570104212
55687,289,peppapig,0,1570104327
55688,290,peppapig,1,1570104350
55689,291,peppapig,0,1570104496
55690,292,peppapig,1,1570104506
55691,293,peppapig,0,1570104536
55692,294,peppapig,1,1570104713
55693,295,peppapig,1,1570104718
55694,296,peppapig,1,1570104733
55695,297,peppapig,0,1570104757
55696,298,peppapig,1,1570104762
55697,299,peppapig,1,1570104801
55698,300,peppapig,1,1570104871
55699,301,peppapig,1,1570104883
55700,302,peppapig,1,1570105865
55701,303,peppapig,1,1570105866
55702,304,peppapig,0,1570107796
55703,305,peppapig,1,1570107878
55704,306,peppapig,1,1570108227
55705,307,peppapig,1,1570108243
55706,308,peppapig,1,1570108509
55707,309,peppapig,0,1570108850
55708,310,peppapig,1,1570108861
55709,311,peppapig,1,1570108890
55727,312,peppapig,0,1570113895
55728,313,peppapig,1,1570113927
55786,314,peppapig,0,1570116650
55787,315,peppapig,1,1570116737
55788,316,peppapig,0,1570116878
55789,317,peppapig,1,1570116897
55790,318,peppapig,1,1570117438
55791,319,peppapig,1,1570117440
55792,320,peppapig,0,1570117476
55793,321,peppapig,1,1570117499
55827,322,peppapig,0,1570118890
55828,323,peppapig,1,1570118897
55864,324,peppapig,0,1570123795
55865,325,peppapig,1,1570123886
55866,326,peppapig,0,1570126065
55867,327,peppapig,1,1570126259
55868,328,peppapig,0,1570126803
55869,329,peppapig,1,1570127025
55870,330,peppapig,0,1570129236
55871,331,peppapig,1,1570129298
55872,332,peppapig,1,1570129538
55904,333,peppapig,0,1570134946
55910,334,peppapig,1,1570134993
55911,335,peppapig,0,1570134994
55912,336,peppapig,1,1570135005
